timestamp,lat,lon,hMSL,fixType,numSV
200645.00,60.31955833333333,24.830812833333333,95.2,4,12
200646.00,60.31955816666667,24.830812833333333,95.2,4,12
200647.00,60.31955833333333,24.830812833333333,95.2,4,12
200648.00,60.31955833333333,24.830812833333333,95.2,4,12
200649.00,60.31955833333333,24.830812833333333,95.2,4,12
200650.00,60.31955833333333,24.830812833333333,95.2,4,12
200651.00,60.31955816666667,24.830812833333333,95.2,4,12
200652.00,60.31955816666667,24.830812833333333,95.2,4,12
200653.00,60.31955833333333,24.830812666666663,95.2,4,12
200654.00,60.31955833333333,24.830812833333333,95.2,4,12
200655.00,60.31955816666667,24.830812833333333,95.2,4,12
200656.00,60.31955816666667,24.830812666666663,95.2,4,12
200657.00,60.31955816666667,24.830812666666663,95.2,4,12
200658.00,60.31955833333333,24.830812666666663,95.2,4,12
200659.00,60.31955833333333,24.830812666666663,95.2,4,12
200700.00,60.31955833333333,24.830812666666663,95.2,4,12
200701.00,60.31955833333333,24.830812666666663,95.2,4,12
200702.00,60.31955833333333,24.830812666666663,95.2,4,12
200703.00,60.31955833333333,24.830812666666663,95.2,4,12
200704.00,60.31955833333333,24.830812666666663,95.2,4,12
200705.00,60.31955816666667,24.830812666666663,95.2,4,12
200716.00,60.31955816666667,24.830812666666663,95.2,4,12
200717.00,60.31955816666667,24.830812666666663,95.2,4,12
200718.00,60.31955816666667,24.830812666666663,95.2,4,12
200719.00,60.31955816666667,24.830812666666663,95.2,4,12
200730.00,60.31955833333333,24.830812666666663,95.2,4,12
200742.00,60.31955833333333,24.830812666666663,95.2,4,12
200743.00,60.31955833333333,24.830812666666663,95.2,4,12
200744.00,60.31955833333333,24.830812666666663,95.2,4,12
200745.00,60.31955833333333,24.830812666666663,95.2,4,12
200757.00,60.31955833333333,24.830812666666663,95.2,4,12
200758.00,60.31955833333333,24.830812666666663,95.2,4,12
200759.00,60.31955833333333,24.830812666666663,95.2,4,12
200800.00,60.31955816666667,24.830812666666663,95.2,4,12
200801.00,60.31955833333333,24.830812666666663,95.2,4,12
200802.00,60.31955833333333,24.830812666666663,95.2,4,12
200803.00,60.31955833333333,24.830812666666663,95.2,4,12
200804.00,60.31955833333333,24.830812666666663,95.2,4,12
200805.00,60.31955816666667,24.830812666666663,95.2,4,12
200806.00,60.31955816666667,24.830812666666663,95.2,4,12
200807.00,60.31955816666667,24.830812666666663,95.2,4,12
200808.00,60.31955833333333,24.830812666666663,95.2,4,12
200809.00,60.31955833333333,24.830812666666663,95.2,4,12
200810.00,60.31955833333333,24.830812666666663,95.2,4,12
200811.00,60.31955833333333,24.830812666666663,95.2,4,12
200812.00,60.31955833333333,24.830812666666663,95.2,4,12
200813.00,60.31955833333333,24.830812666666663,95.2,4,12
200814.00,60.31955833333333,24.830812666666663,95.2,4,12
200816.00,60.31955833333333,24.830812666666663,95.2,4,12
200817.00,60.31955816666667,24.830812666666663,95.2,4,12
200818.00,60.31955833333333,24.830812666666663,95.2,4,12
